iter	Passed	Remaining
474	921	716
475	923	714
476	925	711
477	927	709
478	928	707
479	930	705
480	932	703
481	934	701
482	935	699
483	937	697
484	938	694
485	940	692
486	942	690
487	943	688
488	945	686
489	947	684
490	948	682
491	950	679
492	951	677
493	953	675
494	955	673
495	957	671
496	959	669
497	960	667
498	962	665
499	964	663
500	966	661
501	968	659
502	969	657
503	971	655
504	973	653
505	975	651
506	977	649
507	979	647
508	981	645
509	982	643
510	984	641
511	986	639
512	988	637
513	990	635
514	991	633
515	993	631
516	995	629
517	997	627
518	998	625
519	1000	623
520	1002	621
521	1004	619
522	1006	617
523	1007	615
524	1009	613
525	1011	611
526	1013	609
527	1015	607
528	1016	605
529	1018	603
530	1020	601
531	1022	599
532	1024	597
533	1026	595
534	1028	593
535	1029	591
536	1031	589
537	1033	587
538	1035	585
539	1037	583
540	1039	581
541	1040	579
542	1042	577
543	1044	575
544	1045	573
545	1047	571
546	1049	570
547	1051	568
548	1053	566
549	1055	564
550	1056	561
551	1058	559
552	1060	557
553	1061	555
554	1063	553
555	1065	551
556	1067	549
557	1068	547
558	1070	545
559	1072	543
560	1073	541
561	1075	539
562	1077	537
563	1078	535
564	1080	533
565	1082	531
566	1084	529
567	1085	527
568	1087	525
569	1088	523
570	1090	521
571	1092	519
572	1093	517
573	1095	515
574	1096	513
575	1098	510
576	1099	508
577	1101	506
578	1102	504
579	1104	502
580	1106	500
581	1107	498
582	1108	496
583	1111	494
584	1112	492
585	1114	490
586	1116	488
587	1117	486
588	1119	484
589	1121	482
590	1122	480
591	1124	478
592	1126	476
593	1127	474
594	1129	472
595	1130	470
596	1132	468
597	1133	466
598	1135	464
599	1137	462
600	1138	460
601	1140	458
602	1141	456
603	1143	454
604	1145	452
605	1146	450
606	1148	448
607	1150	446
608	1151	444
609	1153	442
610	1155	440
611	1156	438
612	1158	436
613	1160	434
614	1162	432
615	1163	430
616	1165	428
617	1167	426
618	1168	424
619	1170	422
620	1172	420
621	1174	419
622	1175	417
623	1177	415
624	1179	413
625	1181	411
626	1182	409
627	1184	407
628	1186	405
629	1188	403
630	1190	401
631	1192	399
632	1193	397
633	1195	396
634	1197	394
635	1199	392
636	1200	390
637	1202	388
638	1204	386
639	1206	384
640	1207	382
641	1209	380
642	1211	378
643	1213	376
644	1215	374
645	1216	372
646	1218	371
647	1220	369
648	1222	367
649	1223	365
650	1225	363
651	1227	361
652	1229	359
653	1230	357
654	1232	355
655	1234	353
656	1236	351
657	1238	349
658	1239	348
659	1241	346
660	1243	344
661	1245	342
662	1246	340
663	1248	338
664	1249	336
665	1251	334
666	1253	332
667	1254	330
668	1256	328
669	1258	326
670	1259	324
671	1261	322
672	1263	320
673	1264	318
674	1266	317
675	1268	315
676	1269	313
677	1271	311
678	1272	309
679	1274	307
680	1276	305
681	1277	303
682	1279	301
683	1280	299
684	1282	297
