iter	RMSE
496	4.819491798
497	4.810177704
498	4.804389081
499	4.803199721
500	4.802128125
501	4.800963711
502	4.794282514
503	4.793051759
504	4.785476626
505	4.784523582
506	4.783370434
507	4.782306396
508	4.778767646
509	4.777859121
510	4.76847011
511	4.764755388
512	4.758522608
513	4.757631061
514	4.753857496
515	4.753068042
516	4.739191918
517	4.730074157
518	4.727735384
519	4.718424495
520	4.708331741
521	4.707454081
522	4.699482531
523	4.698521374
524	4.697657735
525	4.696684658
526	4.692944807
527	4.685084311
528	4.68411159
529	4.683062377
530	4.68204912
531	4.681044735
532	4.679667246
533	4.67603678
534	4.675115426
535	4.674190547
536	4.666465151
537	4.661153167
538	4.660182836
539	4.658324648
540	4.657370095
541	4.655550715
542	4.64794433
543	4.644896377
544	4.643675108
545	4.633998452
546	4.625791275
547	4.624810612
548	4.623900468
549	4.622534884
550	4.615246002
551	4.613447108
552	4.59953169
553	4.590961465
554	4.590060016
555	4.586935073
556	4.586031487
557	4.583255748
558	4.576244159
559	4.566108393
560	4.559565466
561	4.558755766
562	4.557835726
563	4.555911691
564	4.55503568
565	4.554246859
566	4.548836608
567	4.544121952
568	4.543313528
569	4.541261472
570	4.540297456
571	4.539422909
572	4.531030028
573	4.52597902
574	4.525019626
575	4.523230619
576	4.512726294
577	4.511488395
578	4.510702207
579	4.509729497
580	4.503431707
581	4.496000024
582	4.492033878
583	4.491283837
584	4.489218694
585	4.481176296
586	4.469219707
587	4.463209079
588	4.462395869
589	4.461534653
590	4.4564401
591	4.45468607
592	4.44934314
593	4.448524374
594	4.446555129
595	4.440387899
596	4.435903377
597	4.430924904
598	4.427913981
599	4.42577989
600	4.41787426
601	4.414555768
602	4.413868842
603	4.413023739
604	4.412282564
605	4.411331577
606	4.408109832
607	4.400506759
608	4.39753148
609	4.392564422
610	4.384650567
611	4.374820578
612	4.368516566
613	4.366404339
614	4.365511346
615	4.362877077
616	4.362136466
617	4.361522147
618	4.360853827
619	4.357735176
620	4.3565278
621	4.351771604
622	4.348677277
623	4.335113346
624	4.332061731
625	4.324116535
626	4.323324506
627	4.32178048
628	4.319014123
629	4.316524287
630	4.31570777
631	4.314915347
632	4.306383216
633	4.305685113
634	4.302870278
635	4.301634354
636	4.291530526
637	4.283886469
638	4.281625171
639	4.275563491
640	4.274790878
641	4.274093655
642	4.273406587
643	4.272418291
644	4.266627506
645	4.265777802
646	4.264529502
647	4.260745743
648	4.259768173
649	4.256247443
650	4.253459106
651	4.252721159
652	4.248868342
653	4.248058533
654	4.245620653
655	4.238448072
656	4.231468061
657	4.229866693
658	4.228121394
659	4.227280335
660	4.225727975
661	4.224781133
662	4.223020136
663	4.219762894
664	4.214674761
665	4.203757439
666	4.199537779
667	4.198893685
668	4.19670319
669	4.186587013
670	4.181024578
671	4.173776872
672	4.173169952
673	4.17232718
674	4.171569875
675	4.170905543
676	4.163515157
677	4.156839515
678	4.156091151
679	4.14683923
680	4.144527798
681	4.139506421
682	4.138956701
683	4.131697534
684	4.129278566
685	4.128190767
686	4.125140821
687	4.12261784
688	4.12081876
689	4.117501759
690	4.107996977
691	4.105623135
692	4.105027991
693	4.099753861
694	4.096581319
695	4.095770047
696	4.095094093
697	4.088995439
698	4.081603208
699	4.079552388
700	4.078131671
701	4.072203272
702	4.070721349
703	4.068814646
704	4.06822008
705	4.066224859
706	4.06526057
707	4.061232093
708	4.053549436
709	4.053009737
710	4.046155601
711	4.044855947
712	4.043328431
713	4.04006226
714	4.037110794
715	4.034929332
716	4.034306319
717	4.029440048
718	4.025209338
719	4.024502951
720	4.022880608
721	4.018372087
722	4.017787138
723	4.017055029
724	4.009819452
725	4.009161209
726	4.006852358
727	4.000523323
728	3.996609327
729	3.994878855
730	3.991683742
731	3.982952039
732	3.976456113
733	3.974836107
734	3.974228318
735	3.972923011
736	3.969822363
737	3.969281601
738	3.966328715
739	3.965789576
740	3.962512301
741	3.961057634
742	3.959938594
743	3.95864783
744	3.954760423
745	3.952980931
746	3.95183303
747	3.951212829
748	3.944497526
749	3.939866028
750	3.939238335
751	3.938594631
752	3.932172212
753	3.93160885
754	3.931071899
755	3.923703565
756	3.921711501
757	3.920253402
758	3.911775912
759	3.910887531
760	3.910209574
761	3.907860253
762	3.904498961
763	3.896313902
764	3.895059082
765	3.886301039
766	3.882173065
767	3.881499492
768	3.880903236
769	3.879274108
770	3.878697078
771	3.871800859
772	3.869904624
773	3.869004538
774	3.8673832
775	3.864175744
776	3.862585725
777	3.861856783
778	3.859221224
779	3.858084859
780	3.857507418
781	3.857009362
782	3.85100851
783	3.847930636
784	3.845952316
785	3.844164677
786	3.837685926
787	3.835800784
788	3.834298578
789	3.828698352
790	3.824840446
791	3.821301568
792	3.820851466
793	3.820113545
794	3.819486424
795	3.818905291
796	3.816501457
797	3.81566677
798	3.808872639
799	3.808247717
800	3.799550577
801	3.798238068
802	3.792264417
803	3.791763958
804	3.789594573
805	3.785367223
806	3.781504904
807	3.780956414
808	3.779274867
809	3.776575459
810	3.776084489
811	3.77306266
812	3.769310412
813	3.761101232
814	3.753959562
815	3.752296149
816	3.751742894
817	3.745373273
818	3.737550917
819	3.735932239
820	3.733484219
821	3.730805266
822	3.724775147
823	3.72307672
824	3.714819736
825	3.713410502
826	3.707435109
827	3.706928374
828	3.70636707
829	3.703419281
830	3.70267448
831	3.702082217
832	3.699859554
833	3.691495252
834	3.69089859
835	3.688879101
836	3.688150814
837	3.683335536
838	3.682780313
839	3.68016729
840	3.678757431
841	3.678232177
842	3.677743322
843	3.676463316
