polymer, polymer  SMILES string,polymer MW (g/mol),polymer wt%,intrinsic viscosity (dl/g),polymer surface tension (mN/m),pore maker ,pore maker molecular weight (Da),pore maker wt% (pore maker weight to total weight),additive,additive wt% (additive weight to polymer),organic solvent,solubility parameter (MPa1/2),mean pore radius (nm),overall porosity (%),contact angle (degree)
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,16,0.408,46.6,Arabic Gum ,250000,1.5,none,0,DMAC,22.7,50.5,66,47
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,16,0.408,46.6,Arabic Gum ,250000,2,none,0,DMAC,22.7,46,68,43
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,35000,16,0.408,46.6,Arabic Gum ,250000,3,none,0,DMAC,22.7,37,66.5,40
Polyethersulfone,,,18,0.41,42,none,,0,none,0,NMP,22.9,11.6,80.2,68
Polyethersulfone,,,18,0.41,42,none,,0,TiO2-SO3H,2,NMP,22.9,16.6,75.3,52
Polyethersulfone,,,18,0.41,42,none,,0,TiO2 NPs-2,2,NMP,22.9,14.9,73.9,56
Polyethersulfone,,51000,16,0.41,42,none,,0,none,0,DMAc,22.7,21.6,72.3,80
Sulfonated polyethersulfone,,,16,,,none,,0,none,0,DMAc,22.7,21.9,76.2,60
Sulfonated polyethersulfone,,,16,,,none,,0,UiO-66-NH2,5,DMAc,22.7,20.7,78.6,26.2
Sulfonated polyethersulfone,,,16,,,none,,0,UiO-66-NH2,10,DMAc,22.7,20.8,79,21.3
Polyethersulfone,,51000,16,0.41,42,none,,0,UiO-66-NH2,5,DMAc,22.7,20.4,76.1,44
Polyethersulfone,,51000,16,0.41,42,none,,0,UiO-66-NH2,10,DMAc,22.7,15.9,71.1,34.7
Sulfonated polyethersulfone,,51000,16,,,none,,0,UiO-66-1,5,DMAc,22.7,20.5,76.5,36
Sulfonated polyethersulfone,,51000,16,,,none,,0,UiO-66-1,10,DMAc,22.7,20.8,76.9,34
Polyethersulfone,,51000,16,0.41,42,none,,0,UiO-66-1,5,DMAc,22.7,21.5,76.6,50
Polyethersulfone,,51000,16,0.41,42,none,,0,UiO-66-1,10,DMAc,22.7,21.3,77.5,47
Polyethersulfone,,58000,14,0.41,42,none,,0,none,0,DMSO,26.7,17.03,56.83,75.42
Polyethersulfone,,58000,14,0.41,42,none,,0,g-C3N4-2,0.5,DMSO,26.7,18.03,80.46,74.2
Polyethersulfone,,58000,14,0.41,42,none,,0,g-C3N4-2,1,DMSO,26.7,25.83,80.63,70.54
Polyethersulfone,,58000,14,0.41,42,none,,0,g-C3N4-2,2,DMSO,26.7,27.03,81.83,67.54
Polyethersulfone,,58000,20,0.41,42,PVP,,5,none,0,DMF,24.8,4.6,73,78.75
